HEADER|DTP1.00 |      156356|         366|        |XSHG03|20150820-13:35:05.250|0|T10     
M0301|11000273|        4993|            1005|       132060.00|     0.0209|     0.0150|     0.0150|           0|     0.0159|     0.0100|     0.0138|     0.0135|          40|     0.0136|          20|     0.0129|           5|     0.0142|          10|     0.0128|          10|     0.0143|          10|     0.0124|          45|     0.0144|          10|     0.0123|           9|     0.0147|          30|     0.0000|T 0 |13:24:30.490
M0301|11000274|        3561|             358|      2823227.00|     0.8156|     0.7995|     0.8156|           0|     0.7995|     0.7658|     0.7939|     0.7939|          30|     0.7991|           5|     0.7932|          10|     0.7993|           5|     0.7653|          15|     0.7995|          18|     0.7639|           5|     0.7997|           5|     0.7638|          30|     0.8001|          15|     0.0000|T 0 |13:20:01.680
M0301|11000281|        4739|             463|        50752.00|     0.0146|     0.0115|     0.0115|           0|     0.0119|     0.0096|     0.0113|     0.0113|          10|     0.0114|          10|     0.0108|          35|     0.0117|          35|     0.0107|           5|     0.0119|           5|     0.0104|           5|     0.0121|          10|     0.0100|           1|     0.0123|           5|     0.0000|T 0 |13:34:40.560
M0301|11000282|        3546|             136|      1211906.00|     0.9097|     0.8926|     0.9097|           0|     0.8973|     0.8657|     0.8788|     0.8659|          10|     0.8788|          24|     0.8657|          39|     0.8795|          15|     0.8637|          30|     0.8816|           5|     0.8572|          10|     0.8846|           5|     0.8489|           5|     0.8860|           5|     0.0000|T 0 |13:18:38.890
M0301|11000287|        7059|             458|        36383.00|     0.0117|     0.0107|     0.0107|           0|     0.0107|     0.0071|     0.0093|     0.0088|          30|     0.0090|           5|     0.0081|          10|     0.0091|          10|     0.0077|          30|     0.0096|          35|     0.0071|           9|     0.0098|          10|     0.0069|           5|     0.0099|          25|     0.0000|T 0 |13:16:20.940
M0301|11000288|        4017|             182|      1812531.00|     1.0096|     0.9817|     1.0096|           0|     1.0146|     0.9737|     0.9764|     0.9739|           5|     0.9764|          25|     0.9737|          45|     0.9771|          15|     0.9676|           5|     0.9819|           5|     0.9663|           5|     1.0057|           5|     0.9661|           5|     1.0064|          30|     0.0000|T 0 |13:00:00.310
M0301|11000289|        3505|             382|       516885.00|     0.1448|     0.1455|     0.1455|           0|     0.1507|     0.1230|     0.1507|     0.1497|           5|     0.1507|          25|     0.1495|          27|     0.1535|          65|     0.1494|          30|     0.1591|          30|     0.1448|           5|     0.1611|           5|     0.1444|          10|     0.1700|           5|     0.0000|T 0 |13:24:59.610
M0301|11000290|        3421|             194|       236126.00|     0.1336|     0.1215|     0.1215|           0|     0.1235|     0.1156|     0.1222|     0.1222|          35|     0.1234|           5|     0.1215|          10|     0.1236|          60|     0.1208|          30|     0.1249|          10|     0.1200|           1|     0.1311|           5|     0.1180|           5|     0.1325|          30|     0.0000|T 0 |13:14:38.980
M0301|11000291|        3575|             295|       288961.00|     0.1030|     0.0992|     0.0992|           0|     0.1047|     0.0871|     0.0988|     0.0949|          35|     0.0973|           5|     0.0946|           5|     0.0975|          10|     0.0942|          10|     0.0982|          10|     0.0933|           5|     0.0985|          10|     0.0927|          30|     0.0997|          30|     0.0000|T 0 |13:29:06.180
M0301|11000292|        3301|             143|       125045.00|     0.1010|     0.0902|     0.0902|           0|     0.0929|     0.0858|     0.0895|     0.0925|           5|     0.0927|           5|     0.0914|          30|     0.0928|          10|     0.0907|          10|     0.0929|          29|     0.0890|          30|     0.0935|          10|     0.0858|           5|     0.0941|          30|     0.0000|T 0 |13:14:35.720
